,id,explanation_method,comprehensiveness,sufficiency,prob
0,21,decompx,0.2712259292602539,0.004631459712982178,0.9997004270553589
1,317,decompx,0.2634402612845103,0.003080839912096659,0.9994086027145386
2,287,decompx,0.3263030983507633,0.0030239224433898926,0.9988701939582825
3,301,decompx,0.46132669997002396,0.004513387169156756,0.9995375871658325
4,33,decompx,0.07329111546278,0.015984952449798584,0.9995166063308716
5,161,decompx,0.2794830917340258,0.001707154771556025,0.9997524619102478
6,247,decompx,0.4808646706356244,0.016666417772119694,0.9992351531982422
7,65,decompx,0.8202099779155105,0.0007229885634254007,0.9981462955474854
8,379,decompx,0.13149479859405094,0.0018376774258083766,0.9997747540473938
9,136,decompx,0.6162882820680374,0.0019896452019854288,0.999550998210907
10,242,decompx,0.17085429248602493,0.0007000980169876763,0.9997128844261169
11,6,decompx,0.009234829382462935,0.0006825165315107865,0.999749481678009
12,198,decompx,-0.0809569033286111,-0.8358213210647757,0.13562481105327606
13,251,decompx,0.32893771802385646,0.02061748504638672,0.9997397065162659
14,132,decompx,0.36332094809040427,0.0024290885776281357,0.999624490737915
15,34,decompx,0.7612996587219337,-0.0005065898100535075,0.9938927888870239
16,44,decompx,0.13711983958880106,0.005500356356302897,0.9995173215866089
17,86,decompx,0.6962475004222464,0.0393484024440541,0.9938430786132812
18,318,decompx,0.30726750046014784,0.0014663785696029663,0.9996292591094971
19,231,decompx,0.4463222096948063,0.0007522772340213551,0.9995720982551575
20,255,decompx,0.06482046154829171,0.07848136929365304,0.9995885491371155
21,302,decompx,-0.07548330844236681,-0.908387315996851,0.0058858818374574184
22,173,decompx,0.09155782163143159,0.0017721176147460938,0.9994643330574036
23,19,decompx,0.08017363331534645,0.0047265182841907845,0.9996044039726257
24,219,decompx,0.4937404940525691,0.0008620001651622631,0.999024510383606
25,380,decompx,0.31423924290216887,0.0022487273583045374,0.9759357571601868
26,94,decompx,0.7018786509831746,0.0010911126931508381,0.9979491829872131
27,384,decompx,0.5636289177669419,0.004291991392771403,0.9989522695541382
28,126,decompx,0.2236019632090693,0.0008048518844272779,0.9996323585510254
29,216,decompx,0.011916393457457077,0.0016269060068352277,0.9996696710586548
30,154,decompx,0.8422984025382902,0.008440539240837097,0.973724901676178
31,205,decompx,0.5462077022530138,0.01945514976978302,0.9994233846664429
32,237,decompx,0.31329659829216616,0.0036351565391786636,0.9991230368614197
33,304,decompx,0.2784982165321708,0.004523281008005142,0.9993335604667664
34,299,decompx,0.2199949799357234,0.0009726543684263487,0.9996457099914551
35,381,decompx,0.003594301365039967,0.0016843168823807329,0.9997096657752991
36,2,decompx,0.7098776056431234,-0.002058562636375427,0.996027946472168
37,131,decompx,0.06281636617122552,0.002553061032906557,0.9995705485343933
38,232,decompx,0.4086283384822309,0.0011897999793291092,0.9996032118797302
39,83,decompx,0.6424967834415535,0.021001450717449188,0.9967519044876099
40,244,decompx,0.6850966750865891,-0.0006384139969235374,0.9977472424507141
41,96,decompx,0.23038320740063986,0.004189113775889079,0.9994664788246155
