,id,explanation_method,comprehensiveness,normalized_comprehensiveness,sufficiency,normalized_sufficiency,prob,masked_input_prob
0,0,decompx,0.22062905703205615,0.9998984512014818,-0.54000697247684,0.1329693140193975,0.2250209003686905,0.04134671219460547
1,1,decompx,0.44521289691329,0.6534375126068788,0.21809685478607813,0.21127165770875556,0.9997850060462952,0.03385414425621207
2,2,decompx,0.2683747250586748,0.3620691130605385,0.09728931970894336,0.0005093379040873834,0.999813973903656,0.04134671219460547
3,3,decompx,0.41851164065301416,0.8025241116864282,0.12037157602608203,0.05593125505858281,0.9998519420623779,0.04134671219460547
4,4,decompx,0.4151628145741092,0.5015473665190534,0.12401328608393669,0.00024578698511624266,0.9998161196708679,0.03385414425621207
5,5,decompx,0.3520615104585886,0.3200251110386392,0.2974520635791123,0.2516019046950789,0.9998552799224854,0.04134671219460547
6,6,decompx,0.0738058693241328,0.9670235797432067,-0.28197473399341105,0.5188184058770853,0.10874874889850616,0.04134671219460547
7,7,decompx,0.7774347028074166,0.83977798675824,0.18956909370091227,0.09110825635869124,0.9990905523300171,0.03385414425621207
8,8,decompx,0.6175041834823787,0.9036085692031962,0.09728222079575062,0.0007859268304048462,0.9997606873512268,0.04134671219460547
9,9,decompx,0.47733036167919635,0.6780253908891835,0.0965505976229906,8.029327072998238e-05,0.9998217225074768,0.04134671219460547
10,10,decompx,0.8905711853934918,0.9940053133830888,0.09757724590599537,0.0014429481240408372,0.9998534917831421,0.04134671219460547
11,11,decompx,0.5056170642375946,0.8890293039695674,0.10469989366829395,0.007259121401937019,0.999848484992981,0.04134671219460547
12,12,decompx,0.7315094268473331,0.7996899420358179,0.10418521352112294,0.0016730920915758586,0.9998207688331604,0.04134671219460547
13,13,decompx,0.7596520960330964,0.9860959359923424,0.09779140539467335,0.000428409090323076,0.9998351335525513,0.04134671219460547
14,14,decompx,0.7628782877905501,0.8284168123642082,0.330041775932639,0.22157543578957364,0.9998501539230347,0.03385414425621207
15,15,decompx,0.6030859369784594,0.7373204561172045,0.10030822344124317,0.003098824255260706,0.9998176693916321,0.04134671219460547
16,16,decompx,0.5727089600637555,0.5476034829027375,0.19655549752060325,0.01423114480824979,0.9996324777603149,0.04134671219460547
17,17,decompx,0.360119815915823,0.3297452647185144,0.49536815677274715,0.4994000072280877,0.9998290538787842,0.04134671219460547
18,18,decompx,0.7266183596104383,0.7119885423604237,0.09663646407425404,3.078998653514212e-05,0.9996041655540466,0.04134671219460547
19,19,decompx,0.6024893414927647,0.6396834264217902,0.1808286804705858,0.10589988723001229,0.9998514652252197,0.04134671219460547
20,20,decompx,0.19561181589961052,0.16414851413308346,0.1007393378764391,0.001116718133240354,0.9992184638977051,0.04134671219460547
21,21,decompx,0.6222106885164976,0.6594344339999916,0.09746547527611256,0.0021526836683446646,0.9984127283096313,0.04134671219460547
22,22,decompx,0.5917594643930594,0.9659351421025983,0.10886172577738762,0.0008238804928857763,0.9998520612716675,0.03385414425621207
